About,Rating,Company,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
IT Services & Consulting | Pune +50 other locations,3800.0,Birlasoft,3800.0,30000.0,319.0,527.0,248.0,8.0
BPO | Chennai +62 other locations,6000.0,Access Healthcare,6000.0,29700.0,414.0,1100.0,371.0,9.0
Consumer Electronics & Appliances | Bengaluru +117 other locations,4600.0,Dell,4600.0,29400.0,435.0,24.0,551.0,25.0
IT Services & Consulting | Bengaluru +20 other locations,4300.0,Carelon Global Solutions,4300.0,29300.0,429.0,110.0,20.0,9.0
IT Services & Consulting | Pune +33 other locations,3800.0,Synechron,3800.0,29200.0,411.0,262.0,249.0,10.0
Automobile | Gurugram +459 other locations,9600.0,Maruti Suzuki,9600.0,29000.0,805.0,145.0,1100.0,25.0
IT Services & Consulting | Bengaluru +39 other locations,3900.0,Kyndryl,3900.0,28000.0,236.0,443.0,170.0,60.0
BPO | Chennai +70 other locations,6500.0,Omega Healthcare,6500.0,28000.0,566.0,136.0,405.0,32.0
IT Services & Consulting | Bengaluru +104 other locations,4700.0,Hewlett Packard Enterprise,4700.0,27800.0,271.0,218.0,555.0,18.0
IT Services & Consulting | Hyderabad +49 other locations,5400.0,Cyient,5400.0,27800.0,338.0,121.0,476.0,3.0
Financial Services | Mumbai +19 other locations,2100.0,Morgan Stanley,2100.0,27600.0,344.0,50.0,160.0,8.0
Recruitment | Bengaluru +27 other locations,404.0,ABC Consultants,404.0,27500.0,243.0,1.0,23.0,
IT Services & Consulting | Hyderabad +275 other locations,10500.0,Digitide Solutions,10500.0,27300.0,582.0,368.0,787.0,47.0
Banking | Kolkata +1019 other locations,11400.0,Bandhan Bank,11400.0,27000.0,774.0,,565.0,44.0
Pharma | Mumbai +296 other locations,8700.0,Cipla,8700.0,26900.0,610.0,36.0,885.0,20.0
IT Services & Consulting | Pune +39 other locations,4800.0,Eviden,4800.0,26700.0,316.0,,3.0,11.0
Chemicals | Mumbai +558 other locations,9700.0,Asian Paints,9700.0,26500.0,884.0,101.0,931.0,36.0
Consumer Electronics & Appliances | Noida +582 other locations,8400.0,Samsung,8400.0,26300.0,638.0,51.0,535.0,16.0
Pharma | Hyderabad +216 other locations,8300.0,Dr. Reddy's,8300.0,26200.0,529.0,48.0,757.0,30.0
Industrial Automation | Bengaluru +121 other locations,5200.0,Schneider Electric,5200.0,26200.0,469.0,447.0,453.0,13.0
IT Services & Consulting | Bengaluru +19 other locations,924.0,Test Yantra Software Solutions,924.0,25900.0,150.0,11.0,130.0,
Financial Services | Gurugram +54 other locations,3900.0,American Express,3900.0,25800.0,437.0,90.0,448.0,10.0
IT Services & Consulting | Pune +29 other locations,3000.0,Zensar Technologies,3000.0,25700.0,285.0,518.0,246.0,24.0
Real Estate | Gurugram +87 other locations,6500.0,JLL,6500.0,25500.0,506.0,440.0,557.0,21.0
FMCG | Bengaluru +379 other locations,7300.0,ITC,7300.0,25300.0,708.0,70.0,653.0,14.0
Building Material | Mumbai +541 other locations,9600.0,UltraTech Cement,9600.0,25300.0,821.0,60.0,652.0,47.0
BPO | Bengaluru +73 other locations,5900.0,Firstsource Solutions,5900.0,25100.0,370.0,118.0,585.0,13.0
BPO | Bengaluru +104 other locations,9600.0,Startek,9600.0,25000.0,657.0,267.0,698.0,16.0
BPO | Noida +53 other locations,27300.0,iEnergizer,27300.0,24900.0,1600.0,87.0,568.0,29.0
IT Services & Consulting | Hyderabad +36 other locations,2100.0,EPAM Systems,2100.0,24600.0,655.0,72.0,136.0,7.0
Management Consulting | Bengaluru +38 other locations,2700.0,KPMG Global Services,2700.0,24500.0,271.0,40.0,10.0,
IT Services & Consulting | Bengaluru +31 other locations,3000.0,Tata Elxsi,3000.0,24400.0,346.0,52.0,210.0,8.0
Retail | Bengaluru +91 other locations,3200.0,Walmart,3200.0,24400.0,448.0,7.0,329.0,12.0
Internet | Bengaluru +238 other locations,5700.0,Swiggy,5700.0,24400.0,598.0,186.0,367.0,18.0
Software Product | Pune +43 other locations,3900.0,KPIT Technologies,3900.0,24300.0,351.0,25.0,293.0,17.0
Consumer Electronics & Appliances | Bengaluru +42 other locations,3400.0,HARMAN,3400.0,24200.0,296.0,198.0,107.0,3.0
NBFC | Pune +1006 other locations,9400.0,Bajaj Finance,9400.0,23800.0,457.0,4600.0,536.0,17.0
Telecom | Pune +102 other locations,4100.0,Tata Communications,4100.0,23700.0,308.0,162.0,434.0,13.0
IT Services & Consulting | Bengaluru +23 other locations,3200.0,Societe Generale Global Solution Centre,3200.0,23700.0,307.0,41.0,300.0,
Pharma | Vadodara +265 other locations,7700.0,Sun Pharmaceutical Industries,7700.0,23500.0,696.0,362.0,620.0,16.0
Automobile | Pune +58 other locations,3300.0,Tata Technologies,3300.0,23400.0,316.0,149.0,316.0,14.0
